no,codingdate,url,id,postnum,followernum,followingnum
1,2021-03-01,"https://www.instagram.com/flowerinsta03
/",flowerinsta03,"1,183",203,1
2,2021-03-01,"https://www.instagram.com/dandell_e
/",dandell_e,171,"3,138",718
3,2021-03-01,"https://www.instagram.com/janua.e
/",janua.e,53,"3,742","3,282"
4,2021-03-01,"https://www.instagram.com/soooya_99
/",soooya_99,84,959,222
5,2021-03-01,"https://www.instagram.com/tennis_joon_95
/",tennis_joon_95,77,"1,264",767
6,2021-03-01,"https://www.instagram.com/azuuuchan7
/",azuuuchan7,270,"9,010",386
7,2021-03-01,"https://www.instagram.com/madi.makes.madi
/",madi.makes.madi,10,65,14
8,2021-03-01,"https://www.instagram.com/digniq_korea
/",digniq_korea,24,"2,735",127
9,2021-03-01,"https://www.instagram.com/dress_peu.a.peu
/",dress_peu.a.peu,"1,328","1,025",453
10,2021-03-01,"https://www.instagram.com/maylily_gong9
/",maylily_gong9,"7,414","10,459","1,838"
11,2021-03-01,"https://www.instagram.com/similarshu__official
/",similarshu__official,131,102,62
12,2021-03-01,"https://www.instagram.com/mytwo789
/",mytwo789,"1,673","3,154","4,041"
13,2021-03-01,"https://www.instagram.com/paris_jjini
/",paris_jjini,"1,248",716,"5,825"
14,2021-03-01,"https://www.instagram.com/banzi_plant
/",banzi_plant,62,264,10
15,2021-03-01,"https://www.instagram.com/nailed_it_tip
/",nailed_it_tip,67,215,83
16,2021-03-01,"https://www.instagram.com/chol.n.lang
/",chol.n.lang,148,"1,376",12
17,2021-03-01,"https://www.instagram.com/ek___shop
/",ek___shop,"8,613","41,305","1,015"
18,2021-03-01,"https://www.instagram.com/_chenha.a
/",_chenha.a,135,"2,168",248
19,2021-03-01,"https://www.instagram.com/dodoha12345
/",dodoha12345,853,934,"4,617"
20,2021-03-01,"https://www.instagram.com/pucil7133
/",pucil7133,"1,238","4,894","3,859"
21,2021-03-01,"https://www.instagram.com/dimanche_kids
/",dimanche_kids,"1,035","14,742",581
22,2021-03-01,"https://www.instagram.com/gb45454545
/",gb45454545,699,213,74
23,2021-03-01,"https://www.instagram.com/minsshop_official
/",minsshop_official,"2,540","22,046",1
24,2021-03-01,"https://www.instagram.com/isoi_official
/",isoi_official,"1,459","24,406",114
25,2021-03-01,"https://www.instagram.com/im1l_gyeryong
/",im1l_gyeryong,90,94,94
26,2021-03-01,"https://www.instagram.com/code__l
/",code__l,"2,371","15,512",472
27,2021-03-01,"https://www.instagram.com/nikita_gem
/",nikita_gem,265,757,600
28,2021-03-01,"https://www.instagram.com/sky7272x
/",sky7272x,524,"1,643","1,307"
29,2021-03-01,"https://www.instagram.com/in_.99
/",in_.99,34,149,94
30,2021-03-01,"https://www.instagram.com/riman__eunyeong
/",riman__eunyeong,62,427,302
31,2021-03-01,"https://www.instagram.com/thejioo_0422
/",thejioo_0422,"1,006","1,058","1,096"
32,2021-03-01,"https://www.instagram.com/seoul.so.chic
/",seoul.so.chic,"2,610","43,201",705
33,2021-03-01,"https://www.instagram.com/yebbin._.rose
/",yebbin._.rose,246,"1,984",92
34,2021-03-01,"https://www.instagram.com/ddu_and_ming
/",ddu_and_ming,31,106,4
35,2021-03-01,"https://www.instagram.com/gomdung.e
/",gomdung.e,133,799,400
36,2021-03-01,"https://www.instagram.com/3.13_gram
/",3.13_gram,271,"8,808","1,984"
37,2021-03-01,"https://www.instagram.com/_del.dia_
/",_del.dia_,996,"1,830",650
38,2021-03-01,"https://www.instagram.com/ryubien7
/",ryubien7,369,513,285
39,2021-03-01,"https://www.instagram.com/memine_kr
/",memine_kr,25,132,0
40,2021-03-01,"https://www.instagram.com/veloute_sj
/",veloute_sj,330,332,380
41,2021-03-01,"https://www.instagram.com/propose2973
/",propose2973,5,12,8
42,2021-03-01,"https://www.instagram.com/hanbasue
/",hanbasue,360,384,283
43,2021-03-01,"https://www.instagram.com/imanimeiling
/",imanimeiling,"9,412","1,244","2,080"
44,2021-03-01,"https://www.instagram.com/soap_by_ej
/",soap_by_ej,105,237,245
45,2021-03-01,"https://www.instagram.com/stellasoap_
/",stellasoap_,"1,347","1,652","1,457"
46,2021-03-01,"https://www.instagram.com/eecocoee
/",eecocoee,"2,929","42,439","7,396"
47,2021-03-01,"https://www.instagram.com/reina___sharp
/",reina___sharp,889,286,24
48,2021-03-01,"https://www.instagram.com/todays_hello_b
/",todays_hello_b,210,224,56
49,2021-03-01,"https://www.instagram.com/anna.official_com
/",anna.official_com,71,154,22
50,2021-03-01,"https://www.instagram.com/dear_dochi
/",dear_dochi,27,"3,244","1,589"
